url,name,price_bdt,category,image_url,processor,generation,ram,storage,graphics_memory,gpu,display_inch,color,processor,camera_front,camera_rear,battery_mah,network,display_type,processor,storage,os
https://www.ryans.com/lenovo-ideapad-slim-3-14arp10-amd-ryzen-5-7535hs-laptop,Lenovo IdeaPad Slim 3 14ARP10 AMD Ryzen 5 753,71000,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-3-14arp10-amd-ryzen-5-7535hs-11760869370.webp,Ryzen 5,Ryzen,8GB,512GB SSD,Shared,AMD Radeon 660M Graphics,14,Cosmic Blue,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-3-14arp10-amd-ryzen-5-7535hs-8gb-ram-free-dos-luna-grey-laptop,Lenovo IdeaPad Slim 3 14ARP10 AMD Ryzen 5 753,71000,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-3-14arp10-amd-ryzen-5-7535hs-11771474305.webp,Ryzen 5,Ryzen,8GB,512GB SSD,Shared,AMD Radeon 660M Graphics,14,Lunar Gray,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-3-15arp10-amd-ryzen-5-7535hs-8gb-ram-laptop,Lenovo IdeaPad Slim 3 15ARP10 AMD Ryzen 5 753,71000,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-3-15arp10-amd-ryzen-5-7535hs-11771496727.webp,Ryzen 5,Ryzen,8GB,512GB SSD,Shared,AMD Radeon 660M Graphics,15.3,Cosmic Blue,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-3-15arp10-8gb-ram-512gb-ssd-laptop,Lenovo IdeaPad Slim 3 15ARP10 AMD Ryzen 5 753,71000,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-3-15arp10-amd-ryzen-5-7535hs-11771734384.webp,Ryzen 5,Ryzen,8GB,512GB SSD,Shared,AMD Radeon 660M Graphics,15.3,Luna Gray,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-3-14arp10-amd-ryzen-5-7535hs-512gb-ssd-laptop,Lenovo IdeaPad Slim 3 14ARP10 AMD Ryzen 5 753,72000,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-3-14arp10-amd-ryzen-5-7535hs-11768389522.webp,Ryzen 5,Ryzen,8GB,512GB SSD,Shared,AMD Radeon 660M Graphics,14,Cosmic Blue,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-3-15arp10-amd-ryzen-5-7535hs-4800mhz-laptop,Lenovo IdeaPad Slim 3 15ARP10 AMD Ryzen 5 753,73000,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-3-15arp10-amd-ryzen-5-7535hs-11771734482.webp,Ryzen 5,Ryzen,8GB,512GB SSD,Shared,AMD Radeon 660M Graphics,15.3,Luna Gray,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-3-15arp10-cosmic-blue-laptop,Lenovo IdeaPad Slim 3 15ARP10 AMD Ryzen 5 753,73000,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-3-15arp10-amd-ryzen-5-7535hs-11771740472.webp,Ryzen 5,Ryzen,8GB,512GB SSD,Shared,AMD Radeon 660M Graphics,15.3,Cosmic Blue,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-3i-15itl6-intel-core-i7-1165g7-15.6-inch-fhd-antiglare-led-display-abyss-blue-laptop,Lenovo IdeaPad Slim 3 15ITL6 Intel Core i7 11,73500,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-3i-15itl6-intel-core-i7-11678356107.webp,Core i7,11th (Intel),8GB,512GB SSD,Shared,Intel Iris Xe Graphics,15.6,Abyss Blue,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-3i-15itl6-intel-core-i7-1165g7-15.6-inch-fhd-antiglare-display-arctic-grey-laptop,Lenovo IdeaPad Slim 3 15ITL6 Intel Core i7 11,73500,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-3i-15itl6-intel-core-i7-51715685555.webp,Core i7,11th (Intel),8GB,512GB SSD,Shared,Intel Iris Xe Graphics,15.6,Arctic Gray,,,,,,,,,
https://www.ryans.com/lenovo-ideapad-slim-3i-15irh8-core-i5-13420h-8gb-ram-512gb-ssd-15.6-inch-fhd-display-arctic-grey-laptop,Lenovo IdeaPad Slim 3 15IRH8 Core i5 13420H 8,74100,laptop,https://www.ryans.com/storage/products/small/lenovo-ideapad-slim-3i-15irh8-core-i5-13420h-8gb-11714218522.webp,Core i5,13th (Intel),8GB,512GB SSD,Shared,Intel UHD Graphics,15.6,Arctic Gray,,,,,,,,,
